ORG_NAME,SEVERITY,_time,count,kpi
pims,critical,2023-05-13T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-13T00:00:00.000+0100,857,NETClosed
mflow,critical,2023-05-13T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-13T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-13T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-13T00:00:00.000+0100,303,NETClosed
cproc,critical,2023-05-13T00:00:00.000+0100,41,NETClosed
cplay,high,2023-05-13T00:00:00.000+0100,96,NETClosed
cplay,critical,2023-05-13T00:00:00.000+0100,1,NETClosed
che,high,2023-05-13T00:00:00.000+0100,64,NETClosed
che,critical,2023-05-13T00:00:00.000+0100,2,NETClosed
buy,high,2023-05-13T00:00:00.000+0100,106,NETClosed
buy,critical,2023-05-13T00:00:00.000+0100,6,NETClosed
Voddisco,high,2023-05-13T00:00:00.000+0100,1624,NETClosed
Voddisco,critical,2023-05-13T00:00:00.000+0100,201,NETClosed
Savi 2,high,2023-05-13T00:00:00.000+0100,6,NETClosed
Savi 2,critical,2023-05-13T00:00:00.000+0100,6,NETClosed
Hestia,high,2023-05-13T00:00:00.000+0100,176,NETClosed
Hestia,critical,2023-05-13T00:00:00.000+0100,13,NETClosed
CHA,high,2023-05-13T00:00:00.000+0100,242,NETClosed
sota,high,2023-05-13T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-13T00:00:00.000+0100,34,Q1Open
pims,high,2023-05-13T00:00:00.000+0100,176,Q1Open
mflow,high,2023-05-13T00:00:00.000+0100,188,Q1Open
cproc,high,2023-05-13T00:00:00.000+0100,11,Q1Open
cplay,high,2023-05-13T00:00:00.000+0100,22,Q1Open
che,high,2023-05-13T00:00:00.000+0100,11,Q1Open
buy,high,2023-05-13T00:00:00.000+0100,12,Q1Open
Voddisco,high,2023-05-13T00:00:00.000+0100,34,Q1Open
Savi 2,high,2023-05-13T00:00:00.000+0100,1,Q1Open
Hestia,high,2023-05-13T00:00:00.000+0100,70,Q1Open
Hestia,critical,2023-05-13T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-13T00:00:00.000+0100,12,Q1Closed
pims,high,2023-05-13T00:00:00.000+0100,55,Q1Closed
mflow,high,2023-05-13T00:00:00.000+0100,11,Q1Closed
cproc,high,2023-05-13T00:00:00.000+0100,11,Q1Closed
che,high,2023-05-13T00:00:00.000+0100,11,Q1Closed
buy,high,2023-05-13T00:00:00.000+0100,12,Q1Closed
